Crime,Latitude,Longitude,Year,Neighborhood
ROBBERY,-122.2774582,47.55080414,2015,Columbia City
OTHER PROPERTY,-122.3425369,47.65341187,2015,Fremont
OTHER PROPERTY,-122.3720856,47.62943649,2015,West Queen Anne
WEAPON,-122.3153915,47.66219711,2015,University District
CAR PROWL,-122.3178329,47.62153626,2015,Broadway
CAR PROWL,-122.3265381,47.67591476,2015,Green Lake
CAR PROWL,-122.2857132,47.60063171,2015,Leschi
FRAUD,-122.3676682,47.63685608,2015,West Queen Anne
OBSTRUCT,-122.3294678,47.61323547,2015,First Hill
PROPERTY DAMAGE,-122.3370895,47.6043396,2015,Central Business District
CAR PROWL,-122.3459778,47.64864349,2015,Fremont
STOLEN PROPERTY,-122.302063,47.61294174,2015,Mann
DISTURBANCE,-122.3447037,47.7057991,2015,Haller Lake
CAR PROWL,-122.3432617,47.61145401,2015,Pike-Market
CAR PROWL,-122.3392792,47.70232391,2015,North College Park
BURGLARY,-122.3306656,47.65070343,2015,Wallingford
BURGLARY,-122.2849197,47.56230164,2015,Columbia City
SHOPLIFTING,-122.3227692,47.59834671,2015,International District
VEHICLE THEFT,-122.2672272,47.52687836,2015,Dunlap
PROPERTY DAMAGE,-122.3447723,47.61117172,2015,Pike-Market
CAR PROWL,-122.3312729,47.66611633,2015,Wallingford
SHOPLIFTING,-122.3652039,47.52468109,2015,Roxhill
CAR PROWL,-122.3240585,47.65389252,2015,Wallingford
NARCOTICS,-122.3338081,47.61210339,2015,Central Business District
BURGLARY-SECURE PARKING-RES,-122.3534851,47.61976242,2015,Lower Queen Anne
DISTURBANCE,-122.3316689,47.60808681,2015,Central Business District
CAR PROWL,-122.3413489,47.65269618,2015,Wallingford
VEHICLE THEFT,-122.319647,47.59750809,2015,International District
WEAPON,-122.2853849,47.55704307,2015,Columbia City
DISTURBANCE,-122.3415426,47.61278241,2015,Belltown
COUNTERFEIT,-122.3373204,47.61132124,2015,Central Business District
CAR PROWL,-122.3173782,47.67691886,2015,Roosevelt
MAIL THEFT,-122.303996,47.66180454,2015,University District
VEHICLE THEFT,-122.3072952,47.62381613,2015,Stevens
TRAFFIC,-122.3224115,47.6359011,2015,Broadway
BIKE THEFT,-122.3321536,47.60940641,2015,Central Business District
VEHICLE THEFT,-122.3319339,47.70592872,2015,North College Park
BURGLARY,-122.3562159,47.64411752,2015,North Queen Anne
SHOPLIFTING,-122.365221,47.52102254,2015,South Delridge
FRAUD,-122.268178,47.55884088,2015,Seward Park
DISPUTE,-122.3342153,47.55379606,2015,Georgetown
CAR PROWL,-122.3283091,47.61508134,2015,Broadway
ASSAULT,-122.3408737,47.60640698,2015,Central Business District
CAR PROWL,-122.2955935,47.58631718,2015,Mount Baker
VEHICLE THEFT,-122.2952861,47.54264886,2015,Holly Park
VEHICLE THEFT,-122.3943225,47.67297552,2015,Adams
CAR PROWL,-122.3291198,47.61200432,2015,First Hill
CAR PROWL,-122.3313445,47.60772768,2015,Central Business District
VEHICLE THEFT,-122.3208022,47.61523375,2015,Broadway
CAR PROWL,-122.3156801,47.59919954,2015,Atlantic
BURGLARY-SECURE PARKING-RES,-122.3265758,47.60923037,2015,First Hill
MAIL THEFT,-122.341852,47.66286545,2015,Wallingford
VEHICLE THEFT,-122.2934548,47.62132963,2015,Harrison/Denny-Blaine
TRAFFIC,-122.3342063,47.57438549,2015,Industrial District
TRESPASS,-122.3383483,47.60951744,2015,Central Business District
LOST PROPERTY,-122.3342112,47.60918901,2015,Central Business District
DISTURBANCE,-122.3867704,47.567464,2015,Genesee
CAR PROWL,-122.2747637,47.54970759,2015,Columbia City
BIKE THEFT,-122.3423506,47.63874851,2015,East Queen Anne
VEHICLE THEFT,-122.3081635,47.58410081,2015,North Beacon Hill
OTHER PROPERTY,-122.3433608,47.70687634,2015,Haller Lake
OTHER PROPERTY,-122.3471636,47.61375921,2015,Belltown
TRESPASS,-122.3181689,47.6158384,2015,Broadway
ASSAULT,-122.3408946,47.61239733,2015,Belltown
CAR PROWL,-122.2782576,47.63561763,2015,Madison Park
ASSAULT,-122.2742456,47.52330767,2015,Dunlap
CAR PROWL,-122.3205325,47.70721265,2015,Maple Leaf
VEHICLE THEFT,-122.2844903,47.62070472,2015,Harrison/Denny-Blaine
CAR PROWL,-122.3194473,47.61408335,2015,Broadway
CAR PROWL,-122.3413352,47.65340755,2015,Wallingford
OTHER PROPERTY,-122.3642211,47.56018812,2015,North Delridge
CAR PROWL,-122.3554407,47.70363367,2015,Greenwood
DISTURBANCE,-122.3578464,47.51827906,2015,South Delridge
CAR PROWL,-122.3383275,47.60530026,2015,Central Business District
PROPERTY DAMAGE,-122.3321593,47.60442934,2015,Central Business District
BURGLARY,-122.3011793,47.6182864,2015,Mann
BURGLARY,-122.2967498,47.61762564,2015,Mann
THREATS,-122.2753,47.69303006,2015,Matthews Beach
ROBBERY,-122.2815429,47.66778473,2015,Bryant
SHOPLIFTING,-122.3373204,47.61132124,2015,Central Business District
CAR PROWL,-122.34501,47.62089783,2015,South Lake Union
OTHER PROPERTY,-122.367312,47.52102758,2015,Roxhill
STOLEN PROPERTY,-122.3361655,47.6160533,2015,Belltown
LOST PROPERTY,-122.2680301,47.51985178,2015,Dunlap
BURGLARY,-122.3422368,47.65957136,2015,Wallingford
CAR PROWL,-122.3716715,47.56613725,2015,North Delridge
TRESPASS,-122.2689677,47.53890447,2015,Brighton
COUNTERFEIT,-122.2902992,47.67669147,2015,Bryant
ROBBERY,-122.351906,47.61480495,2015,Belltown
PROPERTY DAMAGE,-122.3341768,47.60214897,2015,Pioneer Square
FRAUD,-122.3987391,47.58409491,2015,North Admiral
ASSAULT,-122.3337075,47.6128322,2015,Central Business District
OTHER PROPERTY,-122.3448961,47.71717447,2015,Haller Lake
PICKPOCKET,-122.3381467,47.61097516,2015,Central Business District
CAR PROWL,-122.3449968,47.72503555,2015,Haller Lake
OTHER PROPERTY,-122.3488804,47.62456179,2015,Lower Queen Anne
BURGLARY,-122.281651,47.61427298,2015,Madrona
OTHER PROPERTY,-122.3342849,47.60255314,2015,Pioneer Square
NARCOTICS,-122.289922,47.56888116,2015,Mount Baker
CAR PROWL,-122.3301416,47.66384885,2015,Wallingford
CAR PROWL,-122.3303703,47.68864458,2015,Green Lake
CAR PROWL,-122.392896,47.65413299,2015,Lawton Park
CAR PROWL,-122.3346078,47.60291195,2015,Central Business District
BURGLARY-SECURE PARKING-RES,-122.3459829,47.65175006,2015,Fremont
DISTURBANCE,-122.3315772,47.60003876,2015,Pioneer Square
THREATS,-122.3194847,47.72060406,2015,Pinehurst
DISTURBANCE,-122.3130342,47.66749153,2015,University District
BURGLARY,-122.3166351,47.65909576,2015,University District
FRAUD,-122.3173718,47.66784169,2015,University District
NARCOTICS,-122.3618552,47.67015117,2015,West Woodland
SHOPLIFTING,-122.3246155,47.70860291,2015,Pinehurst
WARRANT ARREST,-122.3149119,47.52643965,2015,South Park
DISTURBANCE,-122.3505254,47.64970651,2015,Fremont
CAR PROWL,-122.3348178,47.61236845,2015,Central Business District
OTHER PROPERTY,-122.3181502,47.61467441,2015,Broadway
THREATS,-122.3363415,47.60312963,2015,Central Business District
PROPERTY DAMAGE,-122.3278302,47.54580423,2015,Georgetown
DISTURBANCE,-122.3242939,47.52391986,2015,South Park
OTHER PROPERTY,-122.3372844,47.61852689,2015,South Lake Union
FRAUD,-122.3220331,47.62152029,2015,Broadway
CAR PROWL,-122.2574844,47.54919795,2015,Seward Park
VIOLATION OF COURT ORDER,-122.3289663,47.59961646,2015,Pioneer Square
MAIL THEFT,-122.3767962,47.68780125,2015,Loyal Heights
STOLEN PROPERTY,-122.3014251,47.61226356,2015,Mann
OTHER PROPERTY,-122.3018872,47.72384566,2015,Olympic Hills
LOST PROPERTY,-122.3146631,47.62253214,2015,Broadway
CAR PROWL,-122.2782537,47.56408886,2015,Columbia City
VEHICLE THEFT,-122.3645009,47.53370043,2015,High Point
