Application/Permit Number,Permit Type,Address,Category,Action Type,Work Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Master Use Permit,Latitude,Longitude
6268348,Construction,600 UNIVERSITY ST,COMMERCIAL,ADD/ALT,No plan review,149000,12/6/10,12/6/10,8/19/11,6/6/12,Permit Closed,,47.60967252,-122.3323065
6268404,Construction,815 AIRPORT WAY S,COMMERCIAL,ADD/ALT,No plan review,10000,12/6/10,12/6/10,2/17/11,6/6/12,Permit Closed,,47.59493876,-122.3267741
6258538,Construction,4293 MEMORIAL WAY NE,COMMERCIAL,ADD/ALT,Plan Review,47813,11/3/10,12/6/10,12/17/12,6/6/12,Permit Closed,,47.65918365,-122.3108409
6260382,Construction,4202 6TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,376000,10/28/10,12/6/10,4/1/11,6/6/12,Permit Closed,,47.56577124,-122.3263032
6168476,Construction,311 1ST AVE S,COMMERCIAL,ADD/ALT,Plan Review,150000,5/23/08,12/6/10,,12/6/16,Permit Issued,,47.5996698,-122.3346028
6062326,Construction,2900 NE BLAKELEY ST,COMMERCIAL,ADD/ALT,Plan Review,15000,11/15/10,12/7/10,1/10/11,6/7/12,Permit Closed,,47.66590858,-122.2962011
6261192,Construction,4545 15TH AVE NE,COMMERCIAL,ADD/ALT,Plan Review,600000,10/15/10,12/7/10,5/21/12,6/7/12,Permit Closed,,47.66181882,-122.3123283
6250542,Construction,2600 SW HOLDEN ST,COMMERCIAL,ADD/ALT,Plan Review,713987,6/24/10,12/7/10,,6/7/12,Permit Issued,,47.53419882,-122.3662523
6266922,Construction,821 2ND AVE,COMMERCIAL,ALTER,Plan Review,100000,11/16/10,12/7/10,,6/7/12,Permit Issued,,47.60403796,-122.3349856
6250271,Demolition,118 NW CANAL ST,COMMERCIAL,DEMOLITION,No plan review,1,5/27/10,12/7/10,12/4/12,6/7/12,Permit Closed,,47.65251621,-122.3584719
6268604,Demolition,1570 N 115TH ST,COMMERCIAL,DEMOLITION,No plan review,1,12/7/10,12/7/10,11/1/12,6/7/12,Permit Closed,3011243,47.71286908,-122.3363662
6185615,Construction,118 NW CANAL ST,COMMERCIAL,NEW,Plan Review,359905,5/27/10,12/7/10,4/30/13,12/7/13,Permit Closed,3010652,47.65251621,-122.3584719
6268776,Construction,1201 TERRY AVE,COMMERCIAL,ADD/ALT,No plan review,15000,12/8/10,12/8/10,12/21/10,6/8/12,Permit Closed,,47.61048766,-122.3283856
6268660,Construction,1600 E JEFFERSON ST,COMMERCIAL,ADD/ALT,No plan review,30000,12/8/10,12/8/10,2/17/11,6/8/12,Permit Closed,,47.60649299,-122.3112289
6263484,Construction,1301 2ND AVE,COMMERCIAL,ADD/ALT,Plan Review,260000,11/9/10,12/8/10,2/25/11,6/8/12,Permit Closed,,47.60740726,-122.3377828
6257311,Construction,1400 E UNION ST,COMMERCIAL,ADD/ALT,Plan Review,80000,9/24/10,12/8/10,5/17/11,6/8/12,Permit Closed,,47.61308146,-122.3139805
6267931,Construction,2201 6TH AVE,COMMERCIAL,ALTER,Plan Review,10154,11/30/10,12/8/10,1/6/11,6/8/12,Permit Closed,,47.61599976,-122.3416694
6264405,Construction,610 1ST AVE N,COMMERCIAL,ADD/ALT,Plan Review,170000,11/12/10,12/9/10,2/3/11,6/9/12,Permit Closed,,47.62477038,-122.355224
6252948,Construction,523 UNION ST,COMMERCIAL,ADD/ALT,Plan Review,250000,10/4/10,12/9/10,5/16/11,6/9/12,Permit Closed,,47.60968619,-122.3338067
6254768,Construction,4020 AURORA AVE N,COMMERCIAL,ADD/ALT,Plan Review,60000,9/30/10,12/9/10,,6/9/12,Permit Closed,3011599,47.65598907,-122.346957
6155065,Construction,1500 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,Plan Review,1938250,10/10/07,12/9/10,7/27/12,6/30/12,Permit Closed,3003322,47.6328149,-122.3402591
6267276,Construction,425 PIKE ST,COMMERCIAL,ALTER,Plan Review,96850,11/18/10,12/9/10,12/16/10,6/9/12,Permit Closed,,47.6103371,-122.3357115
6267255,Construction,1301 2ND AVE,COMMERCIAL,ALTER,Plan Review,485000,11/18/10,12/9/10,2/23/11,6/9/12,Permit Closed,,47.60740726,-122.3377828
6265806,Construction,1301 2ND AVE,COMMERCIAL,ALTER,Plan Review,700000,11/3/10,12/9/10,2/11/11,6/9/12,Permit Closed,,47.60740726,-122.3377828
6266753,Construction,1301 2ND AVE,COMMERCIAL,ALTER,Plan Review,40000,11/15/10,12/9/10,4/1/11,6/9/12,Permit Closed,,47.60740726,-122.3377828
6269049,Construction,500 17TH AVE,COMMERCIAL,ADD/ALT,No plan review,30000,12/10/10,12/10/10,2/11/11,6/10/12,Permit Closed,,47.6070606,-122.309671
6269052,Construction,55 BELL ST,COMMERCIAL,ADD/ALT,No plan review,3000,12/10/10,12/10/10,,6/10/12,Permit Closed,,47.61218226,-122.3477099
6268478,Construction,3810 S FERDINAND ST,COMMERCIAL,ADD/ALT,No plan review,12368,12/10/10,12/10/10,1/24/11,6/10/12,Permit Closed,,47.55805049,-122.2843924
6268994,Construction,4543 RAINIER AVE S,COMMERCIAL,ADD/ALT,No plan review,5000,12/10/10,12/10/10,,6/10/12,Permit Closed,,47.56163461,-122.2878595
6170015,Construction,400 N 35TH ST,COMMERCIAL,ADD/ALT,No plan review,150000,12/10/10,12/10/10,4/1/11,6/10/12,Permit Closed,,47.65161081,-122.3542201
6264214,Construction,4915 25TH AVE NE,COMMERCIAL,ADD/ALT,Plan Review,40000,11/2/10,12/10/10,12/21/10,6/10/12,Permit Closed,,47.66517119,-122.3018716
6264212,Construction,2001 8TH AVE,COMMERCIAL,ADD/ALT,Plan Review,1564378,11/2/10,12/10/10,3/4/11,6/10/12,Permit Finaled,,47.61578904,-122.3372714
6263436,Construction,3715 S HUDSON ST,COMMERCIAL,ADD/ALT,Plan Review,10000,10/25/10,12/10/10,,6/10/12,Permit Closed,,47.55686663,-122.2851804
6258154,Construction,8313 GREENWOOD AVE N,COMMERCIAL,ADD/ALT,Plan Review,44275,10/20/10,12/10/10,12/5/11,6/10/12,Permit Closed,,47.68968557,-122.3555144
6260078,Construction,2001 8TH AVE,COMMERCIAL,ADD/ALT,Plan Review,125000,10/6/10,12/10/10,,6/10/12,Permit Issued,,47.61578904,-122.3372714
6267047,Construction,600 UNIVERSITY ST,COMMERCIAL,ALTER,Plan Review,110000,11/17/10,12/10/10,1/21/11,6/10/12,Permit Closed,,47.60967252,-122.3323065
6266393,Construction,3401 RAINIER AVE S,COMMERCIAL,ADD/ALT,Plan Review,50000,11/22/10,12/13/10,2/2/11,6/13/12,Permit Closed,,47.57257725,-122.2943801
6262021,Construction,1516 WESTLAKE AVE,COMMERCIAL,ADD/ALT,Plan Review,15500,10/27/10,12/13/10,1/24/11,6/13/12,Permit Closed,,47.61091303,-122.3366819
6263457,Construction,10342 AURORA AVE N,COMMERCIAL,ADD/ALT,Plan Review,20000,10/13/10,12/13/10,,12/13/13,Permit Closed,,47.70451426,-122.3442605
6261126,Construction,1620 BROADWAY,COMMERCIAL,ADD/ALT,Plan Review,150000,9/28/10,12/13/10,4/18/11,6/13/12,Permit Closed,,47.61592079,-122.3204024
6255599,Construction,310 TERRY AVE N,COMMERCIAL,ADD/ALT,Plan Review,650000,8/30/10,12/13/10,5/4/11,6/13/12,Permit Closed,,47.6215097,-122.336797
6244285,Construction,1700 N 45TH ST,COMMERCIAL,ADD/ALT,Plan Review,382480,8/20/10,12/13/10,7/1/11,6/13/12,Permit Closed,,47.66168029,-122.3374779
6266778,Construction,87 LENORA ST,COMMERCIAL,ALTER,Plan Review,50000,11/15/10,12/13/10,4/6/11,6/13/12,Permit Closed,,47.61123274,-122.3444769
6267272,Construction,2101 4TH AVE,COMMERCIAL,ALTER,Plan Review,72450,11/18/10,12/13/10,,6/13/12,Permit Issued,,47.61431133,-122.3424544
6246751,Construction,11700 1ST AVE NE,COMMERCIAL,ADD/ALT,Plan Review,50000,11/22/10,12/14/10,,6/14/12,Permit Issued,3011293,47.71479238,-122.3282589
6242039,Construction,505 NE 70TH ST,COMMERCIAL,ADD/ALT,Plan Review,10000,7/29/10,12/14/10,8/8/11,6/14/12,Permit Closed,3011145,47.67930699,-122.3220145
6264824,Demolition,1501 E MADISON ST,COMMERCIAL,DEMOLITION,No plan review,1,12/14/10,12/14/10,,6/14/12,Permit Issued,3011010,47.61432844,-122.3125867
6269473,Construction,2505 2ND AVE,COMMERCIAL,ADD/ALT,No plan review,16700,12/15/10,12/15/10,5/29/12,6/15/12,Permit Closed,,47.61534104,-122.3484593
