"(47.5530455, -122.3632976)"
"(47.56093545, -122.352000954028)"
"(47.5316617, -122.376176816605)"
"(47.55166065, -122.386649552949)"
"(47.56357765, -122.36303040367)"
"(47.562143, -122.386856)"
"(47.54807515, -122.375847136139)"

"(47.5707566, -122.3710219)"
"(47.588343, -122.395329)"
"(47.538437, -122.38826)"
"(47.5775947, -122.410949824811)"
"(47.5610855, -122.3854525)"
"(47.5510384, -122.35186429201)"
"(47.5700038, -122.3625235)"
"(47.5826992, -122.384704588465)"
"(47.521908, -122.388489)"
"(47.522442, -122.3762926)"
"(47.539026, -122.388536)"
"(47.5607163, -122.3871398)"
"(47.545139, -122.3874303)"
"(47.56452925, -122.38586924398)"
"(47.5511485, -122.3874063)"
"(47.656517, -122.342033)"
"(47.6463204338127, -122.338196689635)"
"(47.6615557, -122.3294857)"
"(47.6640977, -122.3310449)"
"(47.6611645700687, -122.338884913967)"
"(47.661356, -122.324800)"
"(47.6575835, -122.344895)"
"(47.6614929, -122.3322973)"
"(47.6182617, -122.3577413)"
"(47.623844, -122.349586)"
"(47.622541, -122.34748)"
"(47.6249259, -122.3518443)"
"(47.6259637, -122.3582053)"
"(47.6252101, -122.3559613)"
"(47.6536581, -122.3168679)"
"(47.6598273, -122.292252849248)"
"(47.6584363, -122.312882)"
"(47.6539065, -122.3121096)"
"(47.6669041, -122.3127673)"
"(47.6566657, -122.3135544)"
"(47.6585538, -122.3133686)"
"(47.664752, -122.3127097)"



"(47.656206, -122.312972)"
"(47.650349, -122.307216)"
"(47.658765, -122.31789285)"
"(47.6628472, -122.3127576)"
"(47.652168, -122.306648)"
"(47.657714, -122.305882)"
"(47.649921, -122.306355)"
"(47.662073, -122.31303)"
"(47.6688694, -122.3126674)"
"(47.6676256, -122.3132962)"
"(47.655709, -122.310569)"
"(47.6549243298969, -122.314576412371)"
"(47.6593157, -122.3179173)"
"(47.6604253, -122.312826881376)"
"(47.6656768, -122.3136491)"
"(47.665541, -122.3178615)"
"(47.675826, -122.317088)"
"(47.6617428, -122.3180727)"
"(47.6609714, -122.3138972)"
"(47.6609225, -122.3151058)"
"(47.6652885, -122.310437725362)"
"(47.7203793, -122.2979988)"
"(47.656761, -122.312027)"
"(47.6701069, -122.313258)"
"(47.523941, -122.2762979)"
