Name	Square Feet	Type	Year Occupied	Own or Rent	Parking Spaces	Constiuents	Location	Neighborhood
Caravan Gallery-Parlor and Roadside Attractions	260	Performance	2011	O	0	No single race is more than 50% of our audience		No location
Seattle Public Library Delridge	5600	Literary	2001	Other		White	"(47.5530455, -122.3632976)"	High Point
Duwamish Longhouse	6044	Performance	2008	O	26	Native American and Alaska Native	"(47.56093545, -122.352000954028)"	North Delridge
Kenyon Hall	1200	Performance	1992	O	1	White	"(47.5316617, -122.376176816605)"	Roxhill
C & P Coffee Company	2000	Literary	2004	R	3	White	"(47.55166065, -122.386649552949)"	Fairmount Park
Youngstown Cultural Arts Center	18035	Multi-use	2005	O	54	No single race is more than 50% of our audience	"(47.56357765, -122.36303040367)"	North Delridge
West 5	2400	Multi-use	2003	R			"(47.562143, -122.386856)"	Genesee
Seattle Public Library High Point	7200	Literary	2003	Other		White	"(47.54807515, -122.375847136139)"	High Point
WordsWest Literary Series	1500	Literary	2014	Other				No location
Avalon Glassworks	1300	Studios	2002	R	1	White	"(47.5707566, -122.3710219)"	Fairmount Park
Alki Bathhouse Studio	1550	Multi-use	1920	O	0		"(47.588343, -122.395329)"	Alki
ProletariYacht Club	1064	Multi-use	2015	R			"(47.538437, -122.38826)"	Gatewood
Log House Museum	1500	Heritage	1997	Other	0	White	"(47.5775947, -122.410949824811)"	Alki
Twilight Artist Collective	1100	Visual	2006	R	0	White	"(47.5610855, -122.3854525)"	Genesee
South Seattle Community College Chinese Gardens	200376	Heritage	2011	O	10	Two or more races	"(47.5510384, -122.35186429201)"	Riverview
Skylark Cafe & Club	2200	Performance	2006	R	20	White	"(47.5700038, -122.3625235)"	North Delridge
Seattle Public Library West Seattle	9460	Literary	1909	Other		White	"(47.5826992, -122.384704588465)"	North Admiral
Fauntleroy Schoolhouse/Fauntleroy Community Service Agency	49000	Community Center	2010	O	150	No single race is more than 50% of our audience.	"(47.521908, -122.388489)"	Fauntleroy
Seattle Public Library Southwest	15000	Literary	1960	Other		White	"(47.522442, -122.3762926)"	Roxhill
Northwest Encaustic	800	Arts/Cultural Training or Education	2008	R	5	White	"(47.539026, -122.388536)"	Gatewood
Arts West	12680	Multi-use	1998	O	0	White	"(47.5607163, -122.3871398)"	Genesee
Feedback Lounge	2900	Multi-use	2009	R	20	No single race is more than 50% of our audience.	"(47.545139, -122.3874303)"	Seaview
Unified Outreach Youth Arts	4480	Performance	2003	R	20	Black or African American	"(47.56452925, -122.38586924398)"	Genesee
Seattle Yarn	1800	Arts/Cultural Training or Education	1998	R	5	White	"(47.5511485, -122.3874063)"	Seaview
Seattle Conservatory of Music	1000	Performance	2000	R	7	No single race is more than 50% of our audience	"(47.656517, -122.342033)"	Wallingford
Center for Wooden Boats Wallingford	6000	Heritage	2011	R	8	No single race is more than 50% of our audience	"(47.6463204338127, -122.338196689635)"	Wallingford
Open Books	950	Literary	1995	O	0	White	"(47.6615557, -122.3294857)"	Wallingford
The Chapel Performance Space at Good Shepherd Center	3600	Music	2007	O	100	White	"(47.6640977, -122.3310449)"	Wallingford
Seattle Public Library Wallingford	2000	Literary	1999	R		White	"(47.6611645700687, -122.338884913967)"	Wallingford
Comics Dungeon	1600	Visual	2012	R	0	White	"(47.661356, -122.324800)"	Wallingford
Windows Art Gallery	800	Multi-use	1989	O	0	White	"(47.6575835, -122.344895)"	Fremont
Sea Monster Lounge	1250	Music	2002	R		No single race is more than 50% of our audience	"(47.6614929, -122.3322973)"	Wallingford
Canlis Glass	3500	Visual	2005	R	0	White	"(47.6182617, -122.3577413)"	Belltown
Pacific Northwest Ballet	51000	Studios	1993	R	0	White	"(47.623844, -122.349586)"	Lower Queen Anne
Bill & Melinda Gates Foundation Visitor Center	10000	Arts/Cultural Administration or Advocacy	2012	O	0	No single race is more than 50% of our audience.	"(47.622541, -122.34748)"	Lower Queen Anne
Teatro ZinZanni	28000	Performance	2006	R	0	Two or more races	"(47.6249259, -122.3518443)"	Lower Queen Anne
On the Boards	27500	Performance	1996	O	39	White	"(47.6259637, -122.3582053)"	Lower Queen Anne
St. Paul's Episcopal Church	1100	Multi-use	1913	O	10	White	"(47.6252101, -122.3559613)"	Lower Queen Anne
University of Washington Hutchison Hall	52000	Performance	1938	Other		Two or more races	"(47.6536581, -122.3168679)"	University District
"University of Washington 3D4M School of Art, Ceramic Metal Arts Building "	40000	Visual		Other		Other	"(47.6598273, -122.292252849248)"	University District
Magus Books	2800	Literary	1978	R	0	No single race is more than 50% of our audience	"(47.6584363, -122.312882)"	University District
