"(42.64928421, -124.32499136)"
"(47.64928421, -122.32499136)"
"(47.65063279, -122.34631833)"
"(47.68142507, -122.32215756)"
"(47.67363492, -122.38909685)"
"(47.61682196, -122.30040977)"
"(47.60230586, -122.3201491)"
"(47.57409721, -122.29390925)"
"(47.60985533, -122.30919857)"
"(47.63970299, -122.37737481)"
"(47.64033095, -122.37811158)"
"(47.60368886, -122.30950003)"
"(47.66624076, -122.36793566)"
"(47.66914187, -122.37865185)"
"(47.61963963, -122.30394246)"
"(47.64314172, -122.37464406)"
"(47.5439615, -122.37540766)"
"(47.67403963, -122.38050153)"
"(47.60061956, -122.30596398)"
"(47.72655912, -122.34736207)"
"(47.59042509, -122.32499694)"
"(47.66815231, -122.38547229)"
"(47.6195437, -122.30445042)"
"(47.55744885, -122.36040544)"
"(47.58957889, -122.32681602)"
"(47.52217805, -122.35676112)"
"(47.54693174, -122.28636388)"
"(47.60896697, -122.31388677)"
"(47.61952596, -122.30394004)"
"(47.55207439, -122.27487031)"
"(47.58961285, -122.3121045)"
"(47.61942434, -122.30446485)"
"(47.64311963, -122.37455224)"
"(47.6926178, -122.35161528)"
"(47.56514833, -122.36836802)"
"(47.56594076, -122.3721639)"
"(47.65832493, -122.35136758)"
"(47.65828885, -122.35146402)"
"(47.67430049, -122.38059326)"
"(47.67439486, -122.38050912)"
"(47.69052206, -122.37099677)"
"(47.6119144, -122.3138004)"
"(47.61189738, -122.31390389)"
"(47.56503053, -122.3379759)"
"(47.66895553, -122.25882399)"
"(47.67406865, -122.26379468)"
"(47.67852334, -122.35508197)"
"(47.64144516, -122.32741337)"
"(47.67327757, -122.38373273)"
"(47.61712674, -122.33072825)"
"(47.62384901, -122.3557595)"
"(47.54794984, -122.27592407)"
"(47.61312837, -122.29554692)"
"(47.54327175, -122.32101268)"
"(47.68240595, -122.32531412)"
"(47.543365, -122.32122065)"
"(47.6741176, -122.39135404)"
"(47.67641731, -122.31535713)"
"(47.6912119, -122.3378151)"
"(47.66332423, -122.31113089)"
"(47.58596493, -122.30084743)"
"(47.5709993, -122.28699976)"
"(47.67547473, -122.38091921)"
"(47.69325915, -122.34368602)"
"(47.62687182, -122.34003066)"
"(47.65458416, -122.38576753)"
"(47.70287379, -122.31166777)"
"(47.581759, -122.31508981)"
"(47.61327874, -122.3072727)"
"(47.68131853, -122.32215765)"
"(47.65451464, -122.38579161)"
"(47.56993461, -122.286955)"
"(47.55871928, -122.38041972)"
"(47.65159888, -122.35644745)"
"(47.58762632, -122.3124781)"
"(47.63672857, -122.3686897)"
"(47.63659473, -122.36929952)"
"(47.6407494, -122.314561)"
"(47.68991591, -122.37498953)"
"(47.58762597, -122.30669731)"
"(47.61919138, -122.31312629)"
"(47.68989285, -122.37521107)"
"(47.63796335, -122.4102872)"
"(47.66248621, -122.36958904)"
"(47.69346795, -122.33993015)"
"(47.60613997, -122.34116288)"
"(47.54443749, -122.39592535)"
"(47.66927478, -122.39708869)"
"(47.62928555, -122.3470434)"
"(47.67476122, -122.38058576)"
"(47.67671299, -122.34827812)"
"(47.66845426, -122.36439428)"
"(47.65443126, -122.38539519)"
"(47.59055332, -122.29108101)"
"(47.58864636, -122.31137023)"
"(47.67434254, -122.3904597)"
"(47.6068245, -122.32705753)"
"(47.62546116, -122.33551235)"
"(47.61832606, -122.33381507)"
"(47.67596867, -122.3146306)"
"(47.61801358, -122.3320086)"
"(47.55728664, -122.38187132)"
"(47.55189388, -122.38191105)"
"(47.54326661, -122.37492055)"
"(47.63832042, -122.36986001)"
"(47.63847192, -122.36995433)"
"(47.55990943, -122.28916322)"
"(47.69869378, -122.317884)"
"(47.66024565, -122.39960737)"
"(47.69285632, -122.35964468)"
"(47.69491487, -122.38934694)"
"(47.67219229, -122.37972965)"
"(47.54457252, -122.31919252)"
"(47.54465074, -122.31894469)"
"(47.60383555, -122.31394103)"
"(47.66379802, -122.35357001)"
"(47.57103294, -122.34381343)"
"(47.57037296, -122.34406337)"
"(47.62911462, -122.34704953)"
"(47.6877806, -122.29025441)"
"(47.63051787, -122.34725651)"
"(47.71021591, -122.35713908)"
"(47.72622309, -122.28583255)"
"(47.64130688, -122.31436996)"
"(47.66231885, -122.28147251)"
"(47.72294552, -122.34451157)"
"(47.67219277, -122.37994628)"
"(47.654176, -122.38535207)"
"(47.6751069, -122.38432395)"
"(47.62951836, -122.37476567)"
"(47.67081533, -122.30100477)"
"(47.55657776, -122.36324298)"
